title,phone,website,categoryName
Sunnyside Learning Center,(505) 480-8133,https://sunnysidelearningcenter.business.site/?utm_source=gmb&utm_medium=referral,Learning center
Jeanie's Child Development Center,(505) 268-5088,http://www.tlcdevelopmentcenters.org/Jeanie-s.html,Day care center
Precious Moments,(505) 323-9800,https://www.preciousmomentslc.com/,Day care center
Bright Minds Infant and Children's Academy,(505) 299-1406,http://www.brightmindsabq.com/,Day care center
McLeod KinderCare,(505) 881-2295,https://www.kindercare.com/our-centers/albuquerque/nm/300324?utm_campaign=kc-lg&utm_source=yext&utm_medium=pro&utm_keyword=&utm_platform=&utm_matchtype=&utm_adgroupid=&utm_content=gmb&y_source=1_NTA3MjA4LTcxNS1sb2NhdGlvbi53ZWJzaXRl,Preschool
Monte Vista Day Nursery,(505) 255-3655,http://www.mvdnkids.com/,Preschool
Anna's Daycare,(505) 410-3162,https://annas-daycare.business.site/,Day care center
Calico Butterfly Preschool,(505) 242-4504,http://stpaulabq.org/calico,Preschool
123 Child Development Center,(505) 582-2859,https://123childdevelopmentcenter.com/,Child care agency
Childrens Promise Centers,(505) 554-1206,http://childrenspromisecenters.org/,Day care center
East Gate Kids Childcare,(505) 294-5102,https://eastgatekids.com/,Day care center
Stepping Stones Daycare and Learning Center,(505) 293-2950,,Day care center
ABC Care,(505) 688-6508,,Child care agency
Pasitos Daycare,(505) 417-5660,https://pasitos-daycare.business.site/,Day care center
Herman Sanchez Child Development,(505) 244-6663,http://www.cabq.gov/family/facilities-centers/community-center-locations/southeast/herman-sanchez-community-center/,Day care center
Counting Blessings Learning Center,(505) 315-3767,https://counting-blessings-learning-center.business.site/?utm_source=gmb&utm_medium=referral,Day care center
"Play to Learn, Inc.",(505) 323-7529,,Child care agency
Southwest Child Care,(505) 294-2233,http://www.southwestchildcare.com/,Day care center
Medina Daycare,(505) 850-8018,,Day care center
Happy Feet Childcare,(505) 508-5409,https://www.facebook.com/pages/Happy-Feet-Childcare-inc/717661328356639,Child care agency
Alvarado Day School Inc,(505) 266-5846,https://www.abqchildcare.com/alvarado-day-school,Day care center
Mother's Day Out Child Care,(505) 294-0106,http://www.asburyabq.org/mdo/,Day care center
A Bit of Wonder Daycare,(505) 508-1408,,Day care center
La Petite Academy on Towner NE,(877) 271-6466,https://www.lapetite.com/your-local-school/albuquerque-nm-7288/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=7288,Day care center
Kid's Castle,(505) 294-5437,http://kidscastleabq.com/,Preschool
Coronado Childrens Center,(505) 883-1177,http://coronadochildrenscenter.com/,Day care center
Choices For Children Day School,(505) 242-6363,http://choicesforchildrendayschool.com/,School
Downtown Preschool,(505) 242-1357,,Preschool
Little Big Foot Day School,(505) 888-8995,http://www.littlebigfootdayschool.com/,Learning center
Alamosa Child Development Center,(505) 836-8760,,Child care agency
Busy Bees Child Care,(505) 294-1907,,Day care center
Heights Christian Day Care,(505) 881-9529,http://www.heightschristian.org/preschool-daycare.php,Day care center
Pasitos Centro Infantil,(505) 316-9558,,Day care center
Peppermint Stick Preschool,(505) 266-2300,https://www.facebook.com/PeppermintStickPreschool/,Preschool
Southwest Child Care,(505) 293-2626,http://www.southwestchildcare.com/,Day care center
Little Flower Learning Center,(505) 265-6020,http://www.littleflowerlc.org/,Kindergarten
La Petite Academy on Anaheim Ave NE,(877) 271-6466,https://www.lapetite.com/your-local-school/albuquerque-nm-7279/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=7279,Day care center
Home Style Home WeeCare,(505) 596-4063,https://weecare.co/daycare/carol-martin-daycare?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing,Day care center
Christina Kent Early Childhood Center,(505) 242-0557,http://www.christinakent.org/,Preschool
Our Place Learning Center,(505) 262-2680,,Day care center
Immanuel Lutheran School,(505) 243-2589,http://www.immanuelabq.org/,Parochial school
Child Development Center,(505) 836-8796,https://www.cabq.gov/family/child-and-family-development,Day care center
"Little Minions Learning Center, LLC",(505) 369-8606,,Day care center
Love and Care Child Development Center LLC,(505) 344-1172,,Day care center
Noahs Ark Children’s Academy-Montgomery,(505) 888-8852,http://nacaabq.com/,Preschool
Kidz R Us Learning Academy,(505) 554-1225,http://www.kidzrus.biz/,Day care center
Southwest Child Care,(505) 296-3121,http://www.southwestchildcare.com/,Day care center
ABQ Childcare,(505) 299-0633,https://www.abqchildcare.com/,Day care center
All Angels Episcopal Day School,(505) 344-5888,https://allangelsdayschool.com/,Day care center
La Petite Academy on Constitution NE,(877) 271-6466,https://www.lapetite.com/your-local-school/albuquerque-nm-7282/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=7282,Day care center
La Petite Academy on Homestead NE,(877) 271-6466,https://www.lapetite.com/your-local-school/albuquerque-nm-7285/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=7285,Day care center
KIDZ ACADEMY PRESCHOOL,(505) 899-1346,http://www.kidzacademynm.com/,Preschool
La Petite Academy on Gibson SE,(877) 271-6466,https://www.lapetite.com/your-local-school/albuquerque-nm-7284/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=7284,Day care center
Discovery One Child Care,(505) 266-0409,https://discovery-one-child-care.business.site/?utm_source=gmb&utm_medium=referral,Day care center
Charm's Daycare,(505) 720-5492,http://misscharmsdaycare.com/,Family day care service
Rios Family Daycare,(505) 440-0718,,Day care center
Kiddie Academy of North Albuquerque,(505) 359-0000,https://kiddieacademy.com/academies/north-albuquerque/?y_source=1_NDIzMDQ5MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Preschool
Happy Little World LLC,(505) 236-8994,https://happy-little-world.business.site/,Child care agency
Wesley Kids Childcare & Preschool,(505) 247-2404,https://www.wesleykidsabq.org/,Preschool
Learning Tree Academy,(505) 888-1668,http://www.albuquerquedaycare.org/contact/candelaria-carlisle/,Day care center
Caterpillar Clubhouse Daycare,(505) 322-2776,http://caterpillarclubhousedaycare.com/,Day care center
Sunnyside Learning Academy,(505) 831-8097,https://www.sunnyside.academy/,Day care center
Kidz Academy Preschool - Sage,(505) 503-6427,http://www.kidzacademynm.com/,Day care center
Little Blessings Child Development Center,(505) 639-4458,http://childcarecenter.us/,Child care agency
Preschool Impressions,(505) 508-5569,http://my-preschool.net/,Preschool
"Altamonte Child Development Center, Inc",(505) 883-8530,http://www.altamontechildcare.com/,Child care agency
La Puerta de Los Niños,(505) 884-2999,http://lapuertadelosninos.org/,Preschool
Kids Planet Child Development Center,(505) 243-0058,http://kidsplanetchildcarenm.com/,Youth organization
Love & Care Child Development Center,(505) 344-1172,,Day care center
Rosita Fresita Daycare,,,Day care center
Kiddie Academy of Paradise Hills,(505) 435-4335,https://kiddieacademy.com/academies/paradise-hills/?y_source=1_MTk4OTkwMjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Preschool
Learning Ladder Academy,(505) 715-5973,https://www.learningladderacademyabq.com/,Day care center
The Learning Experience - Paradise Hills,(505) 309-3939,https://thelearningexperience.com/center/paradise-hills/?utm_source=Google&utm_medium=MyBusiness,Day care center
Sun Shine Child Care Program,(505) 899-3062,,Day care center
Little Lobito's Learning Center,(505) 345-0971,http://little-lobitos-learning-center.business.site/,Day care center
Paradise Hills KinderCare,(505) 898-4859,https://www.kindercare.com/our-centers/albuquerque/nm/301493?utm_campaign=kc-lg&utm_source=yext&utm_medium=pro&utm_keyword=&utm_platform=&utm_matchtype=&utm_adgroupid=&utm_content=gmb&y_source=1_NTA3ODg5LTcxNS1sb2NhdGlvbi53ZWJzaXRl,Preschool
Carter's Family Childcare,(443) 822-9078,,Day care center
Faith Kids Preschool and Christian Childcare,(505) 890-8885,http://www.faithkidsabq.com/,Preschool
Tori's Home Preschool,(505) 301-3506,http://www.childcarebytori.com/,Preschool
"La Esperanza Child Development Center, LLC",(505) 891-2755,http://www.laesperanzacdc.com/,Preschool
My Little Sunshine Academy,(505) 312-7915,,Preschool
"The Twins A & V Day Care Center, LLC",(505) 242-4860,,Day care center
Paula Bustamante Day Care,(505) 890-1636,,Day care center
My Little World Early Learning Center,(505) 831-1441,https://www.mylittleworldearlylearningcenter.com/,Day care center
Guillermina Becerra Childcare,(505) 342-1099,,Day care center
Kids World Learning Center,(505) 317-4400,http://kidsworldnm.com/,Child care agency
Teddy Bear Preschool Day Care,(505) 345-6164,https://www.facebook.com/ATeddyBearsLearningChildCarePreschool/,Day care center
La Petite Academy on Kachina NW,(877) 271-6466,https://www.lapetite.com/your-local-school/albuquerque-nm-7286/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=7286,Day care center
Taylor Ranch KinderCare,(505) 897-1694,https://www.kindercare.com/our-centers/albuquerque/nm/300325?utm_campaign=kc-lg&utm_source=yext&utm_medium=pro&utm_keyword=&utm_platform=&utm_matchtype=&utm_adgroupid=&utm_content=gmb&y_source=1_NTA3MjA5LTcxNS1sb2NhdGlvbi53ZWJzaXRl,Preschool
La Petite Academy on Fortuna NW,(877) 271-6466,https://www.lapetite.com/your-local-school/albuquerque-nm-7283/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=7283,Day care center
1st Class Learning Center,(505) 898-5702,https://1stclasslearningcenter.com/,Day care center
Toni's In Home Childcare,(505) 236-8889,,Child care agency
"Little Pixies Learning Center, LLC",(909) 204-9844,https://www.facebook.com/littlepixieslc,Child care agency
Twins Learning Center,(505) 916-0060,,Day care center
La Petite Academy on Redlands NW,(877) 271-6466,https://www.lapetite.com/your-local-school/albuquerque-nm-7278/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=7278,Day care center
The Learning Experience - Ladera,(505) 418-4050,https://thelearningexperience.com/center/ladera?utm_source=Google&utm_medium=MyBusiness,Day care center
Caritas Felices Child Care Center,(505) 515-6902,https://caritas-felices-child-care-center.business.site/,Day care center
La Casa De Lily Learning Center,(505) 319-0202,,Day care center
Pequeños soñadores LLC childcare,(505) 839-3787,https://pequenos-sonadores.business.site/,Day care center
Sunflower Learning Center,(505) 835-5031,https://www.facebook.com/SunflowerABQ/?ref=aymt_homepage_panel,Day care center
Precious Moments Child Care,(505) 836-4151,http://preciousmomentslc.com/,Day care center
La Petite Academy on New Vistas Ct NW B,(877) 271-6466,https://www.lapetite.com/your-local-school/albuquerque-nm-7287/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=7287,Day care center
ABC Preschool & Childcare,(505) 839-4300,http://www.albuquerquedaycare.org/contact/98th-sage/,Preschool
Little Rising Stars Day Care,(505) 720-3958,,Day care center
Precious Moments Child Care,(505) 836-9592,http://preciousmomentslc.com/,Day care center
Kim's Home Child Care,(505) 792-8167,,Day care center
Beginning Steps Daycare,(505) 890-1435,https://www.beginsteps.com/,Day care center
Child Development Center,(505) 836-8704,,Day care center
Pequeños Corazones,(505) 489-4621,https://www.facebook.com/Peque%C3%B1os-Corazones-302423523533041/,Day care center
Springstone Montessori School,(505) 897-8111,https://www.springstonekids.com/locations/paradise/,Montessori school
Early Head Start Western Trail,(505) 831-0302,,Preschool
Joy learning center,(505) 836-8607,https://joy-learningcenter.negocio.site/?utm_source=gmb&utm_medium=referral,Child care agency
Two steps ahead,(505) 908-5283,,Child care agency
YDI MaryAnn Binford Head Start,(505) 836-0276,http://www.ydinm.org/,Preschool
Mesa View Christian Preschool,(505) 898-9364,,Preschool
Vincent E Griego Jr Child Center,(505) 342-1410,,Child care agency
YDI Reginald Chavez Head Start,(505) 244-0330,http://www.ydinm.org/,Preschool
A Child's Garden,(505) 764-2920,http://achildsgardenabq.org/,Preschool
Barelas Child Development Center,(505) 764-3235,https://www.cabq.gov/family/childcare-development-programs/child-development,School
