title,phone,website,categoryName
Emergency Room at Presbyterian Hospital,(505) 841-1234,https://www.phs.org/doctors-services/services-centers/Pages/emergency-care.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_er__038,Emergency room
Lovelace UNM Rehabilitation Hospital,(505) 727-4725,https://lovelace.com/location/lovelace-rehabilitation-hospital,Rehabilitation center
UNM Hospital Emergency Room,(505) 272-2411,http://hsc.unm.edu/health,Emergency room
Presbyterian General Surgery in Albuquerque at Presbyterian Hospital,(505) 253-6100,https://www.phs.org/doctors-services/services-centers/surgery/general-surgery/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_surgery__077,Surgical center
Lovelace Medical Group Urgent Care,(505) 727-0600,https://lovelacemedicalgroup.com/services/urgent-care,Urgent care center
UNM Medical Group,(505) 272-3303,http://unmmg.org/,Medical group
UNM Sleep Disorders Center,(505) 272-6110,http://hospitals.unm.edu/,Sleep clinic
Cardiac Care Consultants Of N.M.,(505) 727-4440,https://lovelace.com/cardiology-services,Medical clinic
"Dr. Mary E. Brennan, MD",(505) 727-4919,,Doctor
Paula Eastman,(505) 272-3592,,Nurse practitioner
Naga Grandhe,(505) 841-1234,,Internist
VCA West Mesa Animal Hospital,(505) 836-6048,https://vcahospitals.com/west-mesa/first-exam-offer?utm_source=yext&utm_medium=yext_listing&utm_campaign=yext,Veterinarian
"Emily Hunter, PA-C",(505) 727-8000,https://lovelace.com/doctors/emily-hunter-pa-c,Physician assistant
"Ranjit Kumar, M.D.",(505) 727-8000,https://lovelace.com/doctors/ranjit-kumar-md,Doctor
"Dr. Sanjay K. Kholwadwala, MD",(505) 727-2050,,Emergency care physician
Dr. Sathish Ramalingam,(505) 727-6200,https://lovelace.com/doctors/sathish-ramalingam-md,Internist
Duke City Urgent Care,(505) 814-1995,https://www.dukecityurgentcare.com/,Urgent care center
VCA Veterinary Care Animal Hospital and Referral Center,(505) 292-5353,https://vcahospitals.com/veterinary-care/first-exam-offer?utm_source=yext&utm_medium=yext_listing&utm_campaign=yext,Animal hospital
Gamma Knife Center of New Mexico,(505) 727-8288,http://lovelacecancercenter.com/,Oncologist
Dr. Brian Holt,(505) 262-7281,,Surgeon
Clinica La Esperanza,(505) 508-1739,http://abqesperanza.com/,Medical clinic
Presbyterian Orthopedics & Orthopedic Surgery in Albuquerque at Kaseman Hospital,(505) 253-6100,https://www.phs.org/doctors-services/services-centers/surgery/orthopedic-surgery/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_ortho__118,Orthopedic surgeon
Banfield Pet Hospital,(505) 797-7194,http://www.banfield.com/veterinarians/nm/albuquerque/abq?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,Veterinarian
"Kevin Rosenberg, M.D.",(505) 727-8000,https://lovelace.com/doctors/kevin-rosenberg-md,Doctor
"Dr Robert Federici, MD",(505) 563-2500,https://www.phs.org/doctors-services/services-centers/heart-health/interventional-cardiology-electrophysiology/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=prov_hvinterv_federici_1053315390,Cardiologist
"Irasema Llewellyn, CNP",(505) 841-1000,https://lovelace.com/doctors/irasema-llewellyn-cnp,Cardiovascular and thoracic surgeon
Department of Emergency Medicine,(505) 272-5062,http://emed.unm.edu/,University department
UNM Outpatient Surgery and Imaging Services (OSIS),(505) 925-7680,http://hospitals.unm.edu/pain/clinicians/koshkin_eugene.html,Medical diagnostic imaging center
Lovelace Women's Hospital Pain Management Clinic,(505) 727-1515,https://lovelace.com/pain-management,Pain management physician
Banfield Pet Hospital,(505) 897-4445,http://www.banfield.com/veterinarians/nm/albuquerque/abu?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,Veterinarian
Banfield Pet Hospital,(505) 344-1450,http://www.banfield.com/veterinarians/nm/albuquerque/ale?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,Veterinarian
Harford Antonia,(505) 272-2345,http://hospitals.unm.edu/,Medical clinic
UNM Hospital - Planning & Construction,,https://hsc.unm.edu/about/finance/facilities/,Association or organization
Petroglyph Animal Hospital,(505) 898-8874,https://pahvets.com/,Veterinarian
Presbyterian Urology in Albuquerque at Presbyterian Hospital,(505) 563-6565,https://www.phs.org/doctors-services/services-centers/specialties/urology/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_urology__186,Urologist
"James Dunlap, PA-C",(505) 727-4430,https://lovelace.com/doctors/james-dunlap-pa-c,Orthopedic clinic
Lovelace Neurosciences Center,(505) 727-2727,https://lovelacemedicalgroup.com/services/neurosciences,Neurologist
"Mary Brennan, M.D.",(505) 727-8000,https://lovelace.com/doctors/mary-brennan-md,Doctor
Duke City Urgent Care,(505) 814-1995,https://www.dukecityurgentcare.com/,Urgent care center
Lovelace medical pavilion,,https://lovelace.com/location/golf-course-road,Doctor
PRESNow 24/7 Urgent and Emergency Care,(505) 596-2100,https://www.presnow247.org/albuquerque-urgent-er-care-paseo/?utm_source=GMBSocialClimb&utm_medium=PRESNow24/7UrgentandEmergencyCare,Urgent care center
Phobia Center of Albuquerque,(505) 266-1444,,Mental health service
"Dr. John R. Martin, MD",(505) 841-1125,http://www.phs.org/,Emergency care physician
AEDP Southwest,(505) 255-1555,,Medical group
The University Of New Mexico Health Sciences Center,(505) 272-6222,http://dermatology.unm.edu/,Skin care clinic
Lovelace Cancer Center,(505) 727-3040,https://lovelacecancercenter.com/,Cancer treatment center
Presbyterian Medical Group in Albuquerque on Pan American Fwy,(505) 823-8282,https://www.phs.org/doctors-services/services-centers/primary-care/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_panam_primary,Medical group
UNM Hospital Clinical Neurosciences Center,,https://unmhealth.org/services/neurology-neurosurgery/,Hospital department
Heart Hospital of New Mexico: Pacheco Elmer J MD,(505) 724-2000,,Doctor
National Union-Hospital & Health,(505) 884-7713,http://www.nmhospitalworkersunion.com/,Labor union
Lovelace Medical Group - Westside Women's Health,(505) 727-4500,https://lovelacemedicalgroup.com/services/womens-health,Surgical center
UNM Family Health Clinic & Outpatient Pharmacy,(505) 272-4400,http://hospitals.unm.edu/,Medical clinic
Lovelace Women's Hospital - Cardiology,(505) 727-6971,https://lovelace.com/news/blog/lovelace-womens-hospital-cardiology-clinic,Doctor
Children's Hospital-New Mexico: Mc Kernan Steven MD,(505) 272-6451,,Doctor
New Mexico Hospitals & Health,(505) 343-0010,,Non-profit organization
Heart Hospital of New Mexico: Bermudez Michael M MD,(505) 724-2000,,Doctor
UNM Hospitals ASAP,(505) 994-7999,http://hospitals.unm.edu/bh/asap/overview.shtml,Addiction treatment center
Lovelace Medical Group,(505) 727-6200,https://lovelacemedicalgroup.com/,Medical group
New Mexico Hospital Association,(505) 343-0010,https://www.nmhanet.org/,Association or organization
University Of New Mexico Hospital Administrative Office,,http://hospitals.unm.edu/,Government office
Presbyterian Pain And Spine in Albuquerque at Kaseman Hospital,(505) 291-2770,https://www.phs.org/doctors-services/services-centers/specialties/pain-spine/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_painandspine__130,Pain control clinic
Molina Healthcare of New Mexico,(866) 440-0127,https://www.molinahealthcare.com/members/nm/en-US/pages/home.aspx,Medical Center
Lovelace Women's Hospital - Gastroenterology,(505) 727-7800,http://www.lovelace.com/,Medical clinic
Central Desert Behavioral Health Services Of New Mexico Llc,(505) 243-3387,,Psychiatric hospital
UNM Hospitals Orthopaedic Clinic & Bone Density Imaging,(505) 272-4866,,Orthopedic clinic
Presbyterian Infusion Services in Albuquerque at Presbyterian Hospital,(505) 563-1309,https://www.phs.org/doctors-services/services-centers/infusion/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_phpob_infusion__192,Medical clinic
Lovelace Westside Cardiology,(505) 727-5000,https://lovelace.com/location/lovelace-westside-hospital/cardiology,Medical Center
Presbyterian Urgent Care in Albuquerque on Atrisco Dr,(505) 462-7575,https://www.phs.org/doctors-services/services-centers/urgent-care/urgent-care/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_atrisco_uc__179,Urgent care center
Unm Children's Hospital: Allen Laura MD,(505) 272-2111,http://hospitals.unm.edu/,Doctor
Turquoise Lodge Hospital,(505) 841-8978,http://nmhealth.org/about/ofm/ltcf/tlh/,Hospital
Presbyterian Heart and Vascular Care in Albuquerque,(505) 563-2500,https://www.phs.org/doctors-services/services-centers/heart-health/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_pa_handv,Heart hospital
Presbyterian Colon and Rectal Surgery in Albuquerque at Kaseman Hospital,(505) 253-6100,https://www.phs.org/doctors-services/services-centers/surgery/colon-and-rectal-surgery/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_colon__210,Surgical center
UNM Hospital Gift Shops,(505) 272-2595,https://unmhealth.org/patients-visitors/gift-shops.html,Hospital
UNM Children's Psychiatric Center,(505) 272-2890,https://unmhealth.org/locations/childrens-psychiatric-center.html,Psychiatric hospital
Hospital Services Corporation,(505) 343-0070,https://www.nmhsc.com/,Business to business service
Presbyterian Hospital: Warren Thomas L DO,(505) 841-1234,,Doctor
Lovelace Medical Center-Downtown- Emergency Room,(505) 727-8000,http://www.lovelace.com/,Emergency room
Central Desert,(505) 243-3387,http://www.centraldesertbh.com/,Mental health clinic
Adult Urgent Care,(505) 272-9646,http://hsc.unm.edu/health/patient-care/urgent-care/locations.html,Urgent care center
Lovelace Women's Hospital Outpatient Rehabilitation,(505) 727-4725,http://www.lovelace.com/locations,Rehabilitation center
Optum Hospitalists,(505) 262-3542,http://www.davitamedgroupnm.com/,Hospital
Heart Hospital of New Mexico: Emergency Room,(505) 727-1100,https://hearthospitalnm.com/,Emergency room
Women's Hospital Pavilion,(505) 254-6500,http://www.abqhp.com/,Medical clinic
UNM Adult Psychiatric Center,(505) 272-2800,https://unmhealth.org/locations/psychiatric-center.html,Psychiatric hospital
Hospital Physician Partners,(505) 727-1002,,Medical clinic
New Mexico othorpedec,,,Hospital
Fresenius Medical Care @ Healthsouth Rehab Hospital,(505) 727-8000,http://www.ultracare-dialysis.com/,Hospital
Raymond G. Murphy VA Medical Center,(505) 265-1711,http://www.albuquerque.va.gov/locations/directions.asp,Veterans hospital
Albuquerque Indian Health Center,(505) 248-4000,https://www.ihs.gov/,Medical Center
Emergency Room at Kaseman Hospital,(505) 291-2000,https://www.phs.org/doctors-services/services-centers/Pages/emergency-care.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_er__035,Emergency room
Fresenius Medical Care at Heart Hospital Of New Mexico,(505) 727-8000,http://www.ultracare-dialysis.com/,Medical clinic
Lovelace Womens Hospital: Emergency Room,(505) 727-7800,http://www.lovelace.com/locations/hospitals/lovelace-womens-hospital,Emergency room
Presbyterian Hospital-The Children's Center at Presbyterian,(505) 563-6530,https://www.phs.org/doctors-services/services-centers/childrens-health/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_aq_ph_child,Children's hospital
Old St. Joseph Hospital,,,Hospital
Presbyterian Inpatient Behavioral Health in Albuquerque at Kaseman Hospital,(505) 291-2560,https://www.phs.org/doctors-services/services-centers/behavioral-health/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_inpatbh__190,Psychiatric hospital
Haven Behavioral Hospital of Albuquerque,(505) 254-4500,https://www.havenalbuquerque.com/?utm_campaign=gmb+business+listings&utm_medium=organic&utm_source=google&utm_content=standard+listing,Psychiatric hospital
Amg Specialty Hospital,(505) 842-5550,,Medical clinic
Grace of God Hospital,(505) 585-6401,,Hospital
Lovelace Westside Hospital: Emergency Room,(505) 727-2000,http://www.lovelace.com/locations/hospitals/lovelace-westside-hospital,Emergency room
Heights General Medical Center,,,Medical Center
Encompass Health Rehabilitation Hospital of Albuquerque,(505) 344-9478,https://encompasshealth.com/albuquerquerehab,Rehabilitation center
Fresenius Medical Care at Kindred Hospital Of Albuquerque,(505) 727-8000,http://www.ultracare-dialysis.com/,Hospital
UNM Carrie Tingley Hospital,(505) 272-5200,https://hsc.unm.edu/health/locations/carrie-tingley-hospital.html,Hospital
University of New Mexico Hospital OTC,(505) 272-2472,http://hsc.unm.edu/health/,Hospital
Lovelace Women's Hospital,(505) 727-7800,https://lovelace.com/,Medical Center
Albuquerque ER & Hospital,,,Hospital
Heart Hospital of NM @ Lovelace Medical Center,(505) 727-1100,https://hearthospitalnm.com/,Hospital
AMG Specialty Hospital - Albuquerque,(505) 842-5550,https://amgihm.com/albuquerque,Hospital
Presbyterian Kaseman Hospital,(505) 291-2000,https://kaseman-hospital.phs.org/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_hospital__l001,Hospital
Kindred Hospital Albuquerque,(505) 242-4444,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-albuquerque,Hospital
Albuquerque ER & Hospital,(505) 431-1900,https://abqhospital.com/?utm_source=google&utm_medium=search&utm_campaign=business,Emergency room
Lovelace Medical Center,(505) 727-8000,https://lovelace.com/,Hospital
Lovelace Westside Hospital,(505) 727-2000,http://lovelace.com/westside,Hospital
UNM Hospital,(505) 272-2111,http://hsc.unm.edu/health,University hospital
Presbyterian Hospital,(505) 841-1234,https://presbyterian-hospital.phs.org/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_hospital__l002,General hospital
Lovelace Health Center,(505) 727-4725,https://lovelace.com/,Medical Center
Sandia Medical Park,,,Medical Center
Albuquerque ambulatory clinic,,,Hospital
Health Sciences,,,Psychiatric hospital
Carrie Tingley Hospital Foundation,(505) 243-6626,http://www.carrietingleyhospitalfoundation.org/,Hospital
Gibson Medical Center,(505) 262-7000,,Medical Center
Hospital / Dental,,,Hospital
Presbyterian Medical Group on Kaseman Hospital,(505) 559-6100,,Medical clinic
Lovelace Health System,(505) 727-8080,,Cancer treatment center
