,title,phone,website,location/lat,location/lng,type
0,Emergency Room at Presbyterian Hospital,(505) 841-1234,https://www.phs.org/doctors-services/services-centers/Pages/emergency-care.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_er__038,35.081573,-106.635382,Medical Facilities
1,Lovelace UNM Rehabilitation Hospital,(505) 727-4725,https://lovelace.com/location/lovelace-rehabilitation-hospital,35.0877893,-106.6382356,Medical Facilities
2,UNM Hospital Emergency Room,(505) 272-2411,http://hsc.unm.edu/health,35.0879115,-106.6184251,Medical Facilities
3,Presbyterian General Surgery in Albuquerque at Presbyterian Hospital,(505) 253-6100,https://www.phs.org/doctors-services/services-centers/surgery/general-surgery/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_surgery__077,35.0816144,-106.6354914,Medical Facilities
4,Lovelace Medical Group Urgent Care,(505) 727-0600,https://lovelacemedicalgroup.com/services/urgent-care,35.15823,-106.5947514,Medical Facilities
5,UNM Medical Group,(505) 272-3303,http://unmmg.org/,35.0711785,-106.6331968,Medical Facilities
6,UNM Sleep Disorders Center,(505) 272-6110,http://hospitals.unm.edu/,35.0904389,-106.6297748,Medical Facilities
7,Cardiac Care Consultants Of N.M.,(505) 727-4440,https://lovelace.com/cardiology-services,35.2076204,-106.6784569,Medical Facilities
8,"Dr. Mary E. Brennan, MD",(505) 727-4919,,35.0877893,-106.6382356,Medical Facilities
9,Paula Eastman,(505) 272-3592,,35.0907098,-106.6162148,Medical Facilities
10,Naga Grandhe,(505) 841-1234,,35.0817941,-106.6349329,Medical Facilities
11,VCA West Mesa Animal Hospital,(505) 836-6048,https://vcahospitals.com/west-mesa/first-exam-offer?utm_source=yext&utm_medium=yext_listing&utm_campaign=yext,35.112654,-106.703402,Medical Facilities
12,"Emily Hunter, PA-C",(505) 727-8000,https://lovelace.com/doctors/emily-hunter-pa-c,35.0858265,-106.6386632,Medical Facilities
13,"Ranjit Kumar, M.D.",(505) 727-8000,https://lovelace.com/doctors/ranjit-kumar-md,35.0861468,-106.6399527,Medical Facilities
14,"Dr. Sanjay K. Kholwadwala, MD",(505) 727-2050,,35.2075205,-106.6771935,Medical Facilities
15,Dr. Sathish Ramalingam,(505) 727-6200,https://lovelace.com/doctors/sathish-ramalingam-md,35.0861468,-106.6399527,Medical Facilities
16,Duke City Urgent Care,(505) 814-1995,https://www.dukecityurgentcare.com/,35.1308728,-106.5092462,Medical Facilities
17,VCA Veterinary Care Animal Hospital and Referral Center,(505) 292-5353,https://vcahospitals.com/veterinary-care/first-exam-offer?utm_source=yext&utm_medium=yext_listing&utm_campaign=yext,35.131311,-106.529564,Medical Facilities
18,Gamma Knife Center of New Mexico,(505) 727-8288,http://lovelacecancercenter.com/,35.0865943,-106.6400721,Medical Facilities
19,Dr. Brian Holt,(505) 262-7281,,35.0858265,-106.6386632,Medical Facilities
20,Clinica La Esperanza,(505) 508-1739,http://abqesperanza.com/,35.0880511,-106.6873356,Medical Facilities
21,Presbyterian Orthopedics & Orthopedic Surgery in Albuquerque at Kaseman Hospital,(505) 253-6100,https://www.phs.org/doctors-services/services-centers/surgery/orthopedic-surgery/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_ortho__118,35.093401,-106.5547642,Medical Facilities
22,Banfield Pet Hospital,(505) 797-7194,http://www.banfield.com/veterinarians/nm/albuquerque/abq?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,35.1464254,-106.5489376,Medical Facilities
23,"Kevin Rosenberg, M.D.",(505) 727-8000,https://lovelace.com/doctors/kevin-rosenberg-md,35.0861468,-106.6399527,Medical Facilities
24,"Dr Robert Federici, MD",(505) 563-2500,https://www.phs.org/doctors-services/services-centers/heart-health/interventional-cardiology-electrophysiology/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=prov_hvinterv_federici_1053315390,35.0816144,-106.6354914,Medical Facilities
25,"Irasema Llewellyn, CNP",(505) 841-1000,https://lovelace.com/doctors/irasema-llewellyn-cnp,35.0867602,-106.6373737,Medical Facilities
26,Department of Emergency Medicine,(505) 272-5062,http://emed.unm.edu/,35.0902093,-106.6196792,Medical Facilities
27,UNM Outpatient Surgery and Imaging Services (OSIS),(505) 925-7680,http://hospitals.unm.edu/pain/clinicians/koshkin_eugene.html,35.0956295,-106.6271024,Medical Facilities
28,Lovelace Women's Hospital Pain Management Clinic,(505) 727-1515,https://lovelace.com/pain-management,35.1330727,-106.5921428,Medical Facilities
29,Banfield Pet Hospital,(505) 897-4445,http://www.banfield.com/veterinarians/nm/albuquerque/abu?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,35.202988,-106.6586517,Medical Facilities
30,Banfield Pet Hospital,(505) 344-1450,http://www.banfield.com/veterinarians/nm/albuquerque/ale?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,35.1349406,-106.610322,Medical Facilities
31,Harford Antonia,(505) 272-2345,http://hospitals.unm.edu/,35.0881912,-106.6190589,Medical Facilities
32,UNM Hospital - Planning & Construction,,https://hsc.unm.edu/about/finance/facilities/,35.0921783,-106.6282317,Medical Facilities
33,Petroglyph Animal Hospital,(505) 898-8874,https://pahvets.com/,35.1729244,-106.6737606,Medical Facilities
34,Presbyterian Urology in Albuquerque at Presbyterian Hospital,(505) 563-6565,https://www.phs.org/doctors-services/services-centers/specialties/urology/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_ph_urology__186,35.0816144,-106.6354914,Medical Facilities
35,"James Dunlap, PA-C",(505) 727-4430,https://lovelace.com/doctors/james-dunlap-pa-c,35.0871041,-106.6397933,Medical Facilities
36,Lovelace Neurosciences Center,(505) 727-2727,https://lovelacemedicalgroup.com/services/neurosciences,35.087119,-106.639821,Medical Facilities
37,"Mary Brennan, M.D.",(505) 727-8000,https://lovelace.com/doctors/mary-brennan-md,35.0861468,-106.6399527,Medical Facilities
38,Duke City Urgent Care,(505) 814-1995,https://www.dukecityurgentcare.com/,35.1304781,-106.5665769,Medical Facilities
39,Lovelace medical pavilion,,https://lovelace.com/location/golf-course-road,35.2086226,-106.6787148,Medical Facilities
40,PRESNow 24/7 Urgent and Emergency Care,(505) 596-2100,https://www.presnow247.org/albuquerque-urgent-er-care-paseo/?utm_source=GMBSocialClimb&utm_medium=PRESNow24/7UrgentandEmergencyCare,35.1736393,-106.5770721,Medical Facilities
41,Phobia Center of Albuquerque,(505) 266-1444,,35.074065,-106.60992,Medical Facilities
42,"Dr. John R. Martin, MD",(505) 841-1125,http://www.phs.org/,35.081573,-106.635382,Medical Facilities
43,AEDP Southwest,(505) 255-1555,,35.0816091,-106.631208,Medical Facilities
44,The University Of New Mexico Health Sciences Center,(505) 272-6222,http://dermatology.unm.edu/,35.0906442,-106.6310054,Medical Facilities
45,Lovelace Cancer Center,(505) 727-3040,https://lovelacecancercenter.com/,35.0858265,-106.6386632,Medical Facilities
46,Presbyterian Medical Group in Albuquerque on Pan American Fwy,(505) 823-8282,https://www.phs.org/doctors-services/services-centers/primary-care/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_panam_primary,35.1548602,-106.5860841,Medical Facilities
47,UNM Hospital Clinical Neurosciences Center,,https://unmhealth.org/services/neurology-neurosurgery/,35.0888292,-106.6179142,Medical Facilities
48,Heart Hospital of New Mexico: Pacheco Elmer J MD,(505) 724-2000,,35.087803,-106.6369353,Medical Facilities
49,National Union-Hospital & Health,(505) 884-7713,http://www.nmhospitalworkersunion.com/,35.078277,-106.581532,Medical Facilities
50,Lovelace Medical Group - Westside Women's Health,(505) 727-4500,https://lovelacemedicalgroup.com/services/womens-health,35.2074375,-106.6771962,Medical Facilities
51,UNM Family Health Clinic & Outpatient Pharmacy,(505) 272-4400,http://hospitals.unm.edu/,35.0950003,-106.6273409,Medical Facilities
52,Lovelace Women's Hospital - Cardiology,(505) 727-6971,https://lovelace.com/news/blog/lovelace-womens-hospital-cardiology-clinic,35.1313256,-106.5914467,Medical Facilities
53,Children's Hospital-New Mexico: Mc Kernan Steven MD,(505) 272-6451,,35.0881912,-106.6190589,Medical Facilities
54,New Mexico Hospitals & Health,(505) 343-0010,,35.154416,-106.606007,Medical Facilities
55,Heart Hospital of New Mexico: Bermudez Michael M MD,(505) 724-2000,,35.087803,-106.6369353,Medical Facilities
56,UNM Hospitals ASAP,(505) 994-7999,http://hospitals.unm.edu/bh/asap/overview.shtml,35.0535214,-106.6211766,Medical Facilities
57,Lovelace Medical Group,(505) 727-6200,https://lovelacemedicalgroup.com/,35.1577875,-106.5948645,Medical Facilities
58,New Mexico Hospital Association,(505) 343-0010,https://www.nmhanet.org/,35.1638556,-106.5870896,Medical Facilities
59,University Of New Mexico Hospital Administrative Office,,http://hospitals.unm.edu/,35.0711936,-106.6343688,Medical Facilities
60,Presbyterian Pain And Spine in Albuquerque at Kaseman Hospital,(505) 291-2770,https://www.phs.org/doctors-services/services-centers/specialties/pain-spine/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_pkh_painandspine__130,35.0939412,-106.5535238,Medical Facilities
61,Molina Healthcare of New Mexico,(866) 440-0127,https://www.molinahealthcare.com/members/nm/en-US/pages/home.aspx,35.0861133,-106.6518534,Medical Facilities
62,Lovelace Women's Hospital - Gastroenterology,(505) 727-7800,http://www.lovelace.com/,35.1316895,-106.5909319,Medical Facilities
63,Central Desert Behavioral Health Services Of New Mexico Llc,(505) 243-3387,,35.0851606,-106.638988,Medical Facilities
64,UNM Hospitals Orthopaedic Clinic & Bone Density Imaging,(505) 272-4866,,35.0897117,-106.6294754,Medical Facilities
65,Presbyterian Infusion Services in Albuquerque at Presbyterian Hospital,(505) 563-1309,https://www.phs.org/doctors-services/services-centers/infusion/Pages/default.aspx?utm_source=gmb&utm_medium=organic&utm_campaign=listing&utm_content=_loc_abq_phpob_infusion__192,35.0816144,-106.6354914,Medical Facilities
66,Lovelace Westside Cardiology,(505) 727-5000,https://lovelace.com/location/lovelace-westside-hospital/cardiology,35.2076204,-106.6784569,Medical Facilities
